id_bu,id_service
SCG Home,บริการติดตั้งอุปกรณ์ป้องกันนกพิราบ by Q-Chang
SCG Home,บริการติดตั้งแอร์แบบติดผนัง (Wall Type) แบบพรีเมียม
SCG Home,บริการล้างบ่อดักไขมัน สำหรับบ้านและร้านค้า
SCG Home,บริการล้างถังเก็บน้ำประปาภายในบ้านพักอาศัยแบบพรีเมียม
SCG Home,บริการรื้อ – เปลี่ยนหลังคาเก่าทั้งผืน (RE-ROOF)​
SCG Home,บริการซ่อมรั่วหลังคาเฉพาะจุด (ROOF REPAIR)​
SCG Home,บริการซ่อมรั่วหลังคาทาวน์เฮาส์ ทาวน์โฮม (TOP UP ROOF)​
SCG Home,บริการทาสีดาดฟ้ากันซึม
SCG Home,บริการปิดโพรงรอบบ้านด้วยแผ่น Smartboard
SCG Home,บริการทาสีผนังภายใน-ภายนอกด้วยสี Beger
SCG Home,บริการติดตั้งหลังคาเมทัลชีทบนหลังคาลอนคู่เดิม (Double Roof)
SCG Home,บริการตรวจสอบปัญหาซ่อมรั่วหลังคาและซ่อมฝ้าเพดาน
SCG Home,บริการตรวจสอบและซ่อมรั่วหลังคา ทุกประเภทหลังคา
SCG Home,บริการติดตั้งระบบกันน้ำรั่วซึมสำหรับดาดฟ้า โดย MagiX
SCG Home,บริการติดตั้งหลังคากันสาดพับได้และม่านม้วน โดย สาดส่องแสง
SCG Home,"บริการติดฟิล์มบ้านและอาคารทั้งภายในและภายนอก RAYCOOOL
"
SCG Home,บริการติดตั้งแผ่นฝ้ายิปซัมภายใน ตราช้าง สำหรับห้องน้ำ ห้องนอน by Q-Chang
SCG Home,ติดตั้งระบบเครื่องเติมอากาศ แรงดันบวก พร้อมกำจัดกลิ่น AIRWAVE+
SCG Home,ติดตั้งระบบเติมอากาศให้บ้าน เครื่องเติมอากาศ FRESHNERGY
SCG Home,เครื่องเติมอากาศดี SCG Active AIR Quality
SCG Home,พื้นภายใน ไม้ลามิเนต UNIX พร้อมติดตั้ง
SCG Home,บริการทำพื้นคอนกรีต เท ปาด ขัด
SCG Home,บริการติดตั้งกระเบื้องปูพื้นคอนกรีต เอสซีจี สำหรับพื้นภายนอก
SCG Home,บริการติดตั้งไม้พื้น Ecoqueen Floor ญี่ปุ่น สำหรับภายใน
SCG Home,หลังคา SCG พร้อมบริการติดตั้งเหมาเบ็ดเสร็จ
SCG Home,SCG Solar Roof Solutions ระบบหลังคาโซลาร์ เอสซีจี พร้อมบริการครบวงจร
SCG Home,พื้นภายใน SPC Unix พร้อมบริการติดตั้ง
SCG Home,พื้นลดแรงกระแทก Shock Absorption Floor (SAF) UNIX
SCG Home,บริการติดตั้งปรับปรุงห้องน้ำ
SCG Home,บริการติดตั้งออกแบบจัดสวนและปรับภูมิทัศน์
SCG Home,บริการออกแบบ จัดสวน ปรับภูมิทัศน์
SCG Home,บริการติดตั้งหลังคาโรงรถและกันสาด by SCG Home Experience Vendor
SCG Home,บริการติดตั้งอุปกรณ์ป้องกันนกพิราบ by Q-Chang
SCG Home,บริการติดตั้งไม้พื้น SPC UNIX สำหรับภายใน by Q-Chang
SCG Home,บริการติดตั้งชุดโครงเหล็กค้ำยันต้นไม้พร้อมเสาเข็มเหล็ก
SCG Home,บริการติดตั้งม่านม้วนและมู่ลี่ BIW
SCG Home,แพ็คเกจบริการรวมสำรวจ ปรับปรุง ต่อเติม พื้นที่รอบบ้านครบวงจร HomeSmile
SCG Home,บริการจัดสวนแนวตั้ง
SCG Home,บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย CVT
SCG Home,หญ้าเทียมพร้อมบริการติดตั้ง
SCG Home,บริการติดตั้งแผ่นพื้นห้องน้ำ กันลื่น ลดแรงกระแทก Ankara Plus
SCG Home,บริการติดตั้งแผ่นพื้นลดแรงกระแทก FU-VPT ยับยั้งไวรัสสำหรับเด็กและผู้สูงอายุ สำหรับภายใน
SCG Home,บริการติดตั้งแผ่นพื้นกันลื่น ลดแรงกระแทก สำหรับภายใน Peel & Place
SCG Home,บริการติดตั้งผ้าม่าน มู่ลี่ ฉากกั้นห้อง และวอลเปเปอร์ iCurtain
SCG Home,บริการติดตั้งรางน้ำฝนไวนิล เอสซีจี HomeSmile
SCG Home,บริการติดตั้งฟิล์มกรองแสง Lamina สำหรับบ้าน อาคาร และคอนโด
SCG Home,บริการติดตั้งมุ้งลวด มุ้งจีบ และมุ้งกันจิ้งจก Cooncho
SCG Home,บริการติดตั้งระแนงตกแต่ง อะลูมิเนียมลายไม้ และเหล็ก Aron สำหรับภายนอก
SCG Home,ระบบระบายอากาศ Active Airflow System
SCG Home,ประตู หน้าต่าง วินด์เซอร์ สั่งตัดพิเศษ
SCG Home,บริการติดตั้งชุดตกแต่งผนัง (The wall) สำหรับภายใน
SCG Home,บริการติดตั้งฉนวนกันความร้อน
SCG Home,บริการติดตั้งมอเตอร์ประตูรั้วรีโมท BSM และ Life Acer
SCG Home,บริการติดตั้งรางน้ำฝนไวนิล SCG รุ่น Smart by Q-Chang
SCG Home,"บริการติดตั้งรางน้ำฝน PVC by Q-Chang
"
SCG Home,บริการติดตั้งรางน้ำฝนไวนิล SCG รุ่น Deluxe by Q-Chang
SCG Home,บริการติดตั้งมุ้งลวดนิรภัยสแตนเลส CVT
SCG Home,บริการติดตั้งต่อเติมโรงรถ-กันสาด by Q-Chang
SCG Home,บริการติดตั้งฝ้าชายคาระบายอากาศไวนิล SCG สำหรับภายนอก by Q-Chang
SCG Home,บริการติดตั้งเสริมผนังกันเสียง เอสซีจี HomeSmile
SCG Home,บริการติดตั้งฉากกั้นอาบน้ำ บานฟิกซ์ บานเลื่อน ShowerKing
SCG Home,บริการติดตั้งลิฟท์บันได Stair Lift
SCG Home,บริการติดตั้งราวกันตกอลูมิเนียมและแผ่นกัน Shinkolite รุ่น Firm
SCG Home,บริการติดตั้งพื้นยางอเนกประสงค์ สำหรับภายนอก Soft Skid
SCG Home,บริการติดตั้งรางน้ำฝนไวนิล SCG
SCG Home,บริการติดตั้งผนังตกแต่ง ไฟเบอร์ซิเมนต์ SCG รุ่น โมดิน่า Wall décor
SCG Home,บริการติดตั้งผนังตกแต่ง KMEW รุ่น EXCELLAGE สำหรับภายนอก
SCG Home,บริการติดตั้งรั้ว ระแนงบังตาไวนิล รุ่น Value Set และ Box Set
SCG Home,บริการติดตั้งชุดกระเบื้องและปล่องระบายอากาศ SCG สำหรับระบายอากาศร้อนในโถงหลังคา
SCG Home,บริการติดตั้งไม้พื้นสมาร์ทเอ็นจิเนียร์วู๊ด สำหรับภายใน
SCG Home,บริการติดตั้งบล็อกและกระเบื้องคอนกรีตปูพื้น สำหรับภายนอก
SCG Home,บริการติดตั้งไม้พื้น WPC แบบ Clip มีร่อง สำหรับภายนอก
SCG Home,บริการติดตั้งฝ้าระแนงไวนิล SCG สำหรับภายนอก ระบายอากาศ กันแมลง
SCG Home,บริการตัดเย็บและติดตั้ง ผ้าม่าน ม่านม้วน มู่ลี่ไม้ วอลล์เปเปอร์ VICHITR
SCG Home,บริการติดตั้งวอลเปเปอร์ และ Interior Film MeClass
SCG Home,บริการติดตั้งต่อเติมห้องผู้สูงวัย HomeSmile
SCG Home,"บริการติดตั้งต่อเติมห้องครัว HomeSmile
"
SCG Home,บริการติดตั้งต่อเติมส่วนซักล้าง HomeSmile
SCG Home,บริการติดตั้งต่อเติมห้องอเนกประสงค์ HomeSmile
SCG Home,บริการติดตั้งต่อเติมระเบียงพักผ่อน HomeSmile
SCG Home,บริการติดตั้งมอเตอร์ประตูรั้วรีโมทอัตโนมัติ HomeXpert
SCG Home,บริการติดตั้งประตูรั้วอลูมิเนียม Hausen
SCG Home,บริการติดตั้งประตูหน้าต่างอลูมิเนียม
SCG Home,บริการติดตั้งฟิล์มกันร้อน Xtra-Cole Ceramic สำหรับบ้าน อาคาร คอนโด
SCG Home,บริการติดตั้งฉนวนกันความร้อน SCG รุ่น Staycool
SCG Home,ระบบไอออนกำจัดเชื้อโรคในอากาศ และดักจับฝุ่น PM2.5 SCG Bi-ion
SCG Home,บริการติดตั้งเฉพาะโครงหลังคาหรือกระเบื้องหลังคาบ้านใหม่
SCG Home,ระบบหลังคาโซลาร์ เอสซีจี สำหรับอาคารและโรงงาน
SCG Home,EZYBUILT บริการออกแบบและติดตั้ง Furniture Fit-in
SCG Home,บริการออกแบบบ้าน
SCG Home,บริการสถาปนิก และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน
SCG Home,ออกแบบตกแต่งภายใน บิ้วอิน พร้อมติดตั้ง ครบวงจร
SCG Home,บริการจำหน่ายแบบก่อสร้างบ้าน
SCG Home,บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ
SCG Home,บริการติดตั้งกล้องวงจรปิด
SCG Home,เครื่องชาร์จรถยนต์ไฟฟ้า SIEMENS - EV Charger
SCG Home,บริการแจ้งเตือนและช่วยเหลือผู้สูงอายุกรณีฉุกเฉิน
Q‑CHANG,บริการล้างแอร์แบบติดผนัง
Q‑CHANG,บริการทำความสะอาดคอนโด (General Cleaning)
Q‑CHANG,บริการทำความสะอาดบ้านและคอนโด (Deep Cleaning)
Q‑CHANG,บริการล้างเครื่องซักผ้าฝาบน
Q‑CHANG,บริการล้างเครื่องซักผ้าฝาหน้า
Q‑CHANG,บริการทำความสะอาดและฆ่าเชื้อโรคพรม
Q‑CHANG,บริการทำความสะอาดและฆ่าเชื้อโรคผ้าม่าน
Q‑CHANG,บริการล้างเครื่องปรับอากาศ แบบแอร์เปลือย/แอร์ฝังซ่อน
Q‑CHANG,บริการพ่นควันฆ่าเชื้อโรค ด้วยระบบ fogging
Q‑CHANG,บริการทำความสะอาดและฆ่าเชื้อโรคที่นอน
Q‑CHANG,บริการทำความสะอาดและฆ่าเชื้อโรคโซฟา
Q‑CHANG,ทำความสะอาดห้องน้ำ
Q‑CHANG,ล้างเครื่องซักอบผ้าฝาหน้า
Q‑CHANG,ล้างแอร์ พร้อมอบโอโซน
Q‑CHANG,บริการทาสี Beger
Q‑CHANG,บริการล้างบ่อดักไขมัน
Q‑CHANG,กำจัดและป้องกันปลวกด้วยระบบการวางเหยื่อ
Q‑CHANG,กำจัดและป้องกันหนู
Q‑CHANG,กำจัดและป้องกันปลวกด้วยระบบการวางท่อและอัดเคมี
Q‑CHANG,กำจัดและป้องกันแมลงสาบสายพันธุ์เยอรมัน
Q‑CHANG,กำจัดและป้องกันตัวเรือด
Q‑CHANG,บริการซ่อมแอร์
Q‑CHANG,บริการซ่อมไฟฟ้าภายในบ้าน
Q‑CHANG,ตรวจสอบปัญหาหลังคารั่ว-ซ่อมรั่ว
Q‑CHANG,แก้ไขท่อน้ำอุดตัน
Q‑CHANG,บริการติดตั้งเครื่องปรับอากาศชนิดติดผนัง (เฉพาะค่าแรง)
Q‑CHANG,ติดตั้งแอร์แขวนหรือตั้งพื้น (เฉพาะค่าแรง)
